NAME,COUNTY,LATITUDE,LONGITUDE,START_DATE,END_DATE
Redwood City,San Mateo,37.482934,-122.20336999999999,1/1/2015,8/31/2020
San Francisco,San Francisco,37.765946,-122.39904399999999,1/1/2015,8/31/2020
San Lorenzo Valley Middle School,Santa Cruz,37.06315,-122.083092,1/1/2015,6/30/2020
San Jose - Jackson,Santa Clara,37.348496999999995,-121.894898,1/1/2015,8/31/2020
Laney College,Alameda,37.793624,-122.263376,1/1/2015,8/31/2020
Vallejo,Solano,38.102507,-122.237976,1/1/2015,8/31/2020
Livermore,Alameda,37.687526,-121.784217,1/1/2015,8/31/2020
Pleasanton - Owens Ct,Alameda,37.701221999999994,-121.903019,4/3/2018,8/31/2020
Concord,Contra Costa,37.936013,-122.026154,1/1/2015,8/31/2020
Napa,Napa,38.310942,-122.29618899999998,1/1/2015,3/31/2018
Stockton-Hazelton,San Joaquin,37.950741,-121.268523,1/1/2015,7/31/2020
Sebastopol,Sonoma,38.403765,-122.818294,1/1/2015,8/31/2020
Berkeley Aquatic Park,Alameda,37.864767,-122.302741,7/1/2016,8/31/2020
Napa Valley College,Napa,38.278849,-122.275024,4/1/2018,8/31/2020
Oakland,Alameda,37.743065,-122.16993500000001,1/1/2015,8/31/2020
San Pablo,Contra Costa,37.9604,-122.35681100000001,1/1/2015,8/31/2020
Cortina Indian Rancheria,Colusa,39.021221000000004,-122.281803,1/1/2015,9/15/2020
Oakland West,Alameda,37.814780999999996,-122.282347,1/1/2015,8/31/2020
San Rafael,Marin,37.97231,-122.520004,1/1/2015,8/31/2020
San Jose - Knox Avenue,Santa Clara,37.338135,-121.849783,1/1/2015,7/31/2020
Gilroy,Santa Clara,36.999571,-121.574684,1/1/2015,8/31/2020
Hollister,San Benito,36.843425,-121.3621,1/1/2015,6/30/2020
Ukiah-Library,Mendocino,39.15047,-123.20655,1/1/2015,3/31/2020
Lakeport-S. Main Street,Lake,39.01893,-122.91333,7/6/2017,6/26/2020
Sacramento-1309 T Street,Sacramento,38.56844,-121.49311000000002,1/1/2015,7/30/2020
Woodland-Gibson Road,Yolo,38.66121,-121.73268999999999,1/6/2015,7/26/2020
Santa Cruz,Santa Cruz,36.98332,-121.98822,1/1/2015,6/30/2020
Salinas 3,Monterey,36.694261,-121.623271,1/1/2015,6/30/2020
Manteca,San Joaquin,37.793392,-121.247874,1/1/2015,9/30/2020
Sacramento-Bercut Drive,Sacramento,38.593322,-121.503795,12/2/2016,7/29/2020
Sacramento-Del Paso Manor,Sacramento,38.613779,-121.36801399999999,1/1/2015,7/31/2020
Modesto-14th Street,Stanislaus,37.642165000000006,-120.994212,1/6/2015,7/31/2020
Sloughhouse,Sacramento,38.494475,-121.21113100000001,5/15/2017,7/31/2020
Willits-125 East Commercial Street,Mendocino,39.41174,-123.35264,1/1/2015,3/31/2020
