COUNTY,DATE,RETAIL/RECREATION,GROCERY/PHARMACY,PARKS,TRANSIT/STATIONS,WORKPLACES,RESIDENTIAL
Alameda,2020-02-15,1.0,0.0,22.0,1.0,0.0,-1.0
Alameda,2020-02-16,7.0,0.0,24.0,5.0,1.0,-2.0
Alameda,2020-02-17,13.0,1.0,55.0,-31.0,-53.0,11.0
Alameda,2020-02-18,-2.0,3.0,21.0,3.0,0.0,0.0
Alameda,2020-02-19,-1.0,0.0,14.0,1.0,0.0,0.0
Alameda,2020-02-20,1.0,1.0,13.0,2.0,0.0,0.0
Alameda,2020-02-21,1.0,1.0,8.0,-1.0,3.0,0.0
Alameda,2020-02-22,1.0,3.0,18.0,-2.0,4.0,-1.0
Alameda,2020-02-23,4.0,4.0,26.0,15.0,3.0,-1.0
Alameda,2020-02-24,0.0,0.0,9.0,0.0,4.0,0.0
Alameda,2020-02-25,1.0,2.0,26.0,5.0,3.0,-1.0
Alameda,2020-02-26,2.0,2.0,20.0,3.0,2.0,-1.0
Alameda,2020-02-27,4.0,4.0,23.0,4.0,2.0,-1.0
Alameda,2020-02-28,3.0,5.0,8.0,0.0,4.0,0.0
Alameda,2020-02-29,2.0,7.0,14.0,-4.0,3.0,-1.0
Alameda,2020-03-01,6.0,9.0,15.0,1.0,4.0,0.0
Alameda,2020-03-02,4.0,7.0,7.0,-1.0,3.0,0.0
Alameda,2020-03-03,5.0,12.0,41.0,0.0,1.0,-1.0
Alameda,2020-03-04,1.0,6.0,23.0,-3.0,1.0,0.0
Alameda,2020-03-05,1.0,6.0,12.0,-5.0,-1.0,1.0
Alameda,2020-03-06,1.0,5.0,-1.0,-7.0,0.0,2.0
Alameda,2020-03-07,-6.0,4.0,-23.0,-14.0,1.0,3.0
Alameda,2020-03-08,-2.0,4.0,14.0,-8.0,1.0,1.0
Alameda,2020-03-09,0.0,6.0,18.0,-15.0,-6.0,4.0
Alameda,2020-03-10,-1.0,8.0,29.0,-15.0,-9.0,4.0
Alameda,2020-03-11,-1.0,7.0,31.0,-18.0,-12.0,5.0
Alameda,2020-03-12,-1.0,16.0,26.0,-25.0,-16.0,7.0
Alameda,2020-03-13,-6.0,26.0,3.0,-30.0,-17.0,8.0
Alameda,2020-03-14,-25.0,11.0,-55.0,-39.0,-8.0,9.0
