QQ-YYYY,PASSENGERS,MEDIAN_ITIN_FARE,AVG_ITIN_FARE,MIN_ITIN_FARE,MAX_ITIN_FARE,ORIGIN_CITY_NAME,ORIGIN_LONGITUDE,ORIGIN_LATITUDE,DEST_CITY_NAME
Q4 of 2010,1.0,10.0,10.0,10.0,10.0,"Allentown/Bethlehem/Easton, PA",-75.43833333,40.65472222,"Oakland, CA"
Q4 of 2010,59.0,466.0,457.35087719298247,10.0,1059.0,"Allentown/Bethlehem/Easton, PA",-75.43833333,40.65472222,"San Francisco, CA"
Q4 of 2010,7.0,536.0,573.2857142857143,321.0,778.0,"Allentown/Bethlehem/Easton, PA",-75.43833333,40.65472222,"San Jose, CA"
Q4 of 2010,1.0,609.0,609.0,609.0,609.0,"Abilene, TX",-99.67972222,32.40944444,"Oakland, CA"
Q4 of 2010,5.0,660.0,523.8,10.0,784.0,"Abilene, TX",-99.67972222,32.40944444,"San Francisco, CA"
Q4 of 2010,6.0,450.0,435.1666666666667,10.0,805.0,"Abilene, TX",-99.67972222,32.40944444,"San Jose, CA"
Q4 of 2010,908.0,338.0,360.25,5.0,683.0,"Albuquerque, NM",-106.60638889,35.04166667,"Oakland, CA"
Q4 of 2010,315.0,351.0,367.7157534246575,5.0,2093.0,"Albuquerque, NM",-106.60638889,35.04166667,"San Francisco, CA"
Q4 of 2010,286.0,330.0,343.54615384615386,7.0,800.0,"Albuquerque, NM",-106.60638889,35.04166667,"San Jose, CA"
Q4 of 2010,6.0,533.5,442.5,10.0,693.0,"Aberdeen, SD",-98.42166667,45.44972222,"San Francisco, CA"
Q4 of 2010,2.0,602.0,602.0,436.0,768.0,"Aberdeen, SD",-98.42166667,45.44972222,"San Jose, CA"
Q4 of 2010,5.0,668.0,855.4,418.0,1785.0,"Albany, GA",-84.19611111,31.53222222,"San Francisco, CA"
Q4 of 2010,2.0,710.0,710.0,614.0,806.0,"Nantucket, MA",-70.05972222,41.25666667,"San Francisco, CA"
Q4 of 2010,1.0,523.0,523.0,523.0,523.0,"Nantucket, MA",-70.05972222,41.25666667,"San Jose, CA"
Q4 of 2010,8.0,389.0,411.625,225.0,741.0,"Waco, TX",-97.22861111,31.61138889,"San Francisco, CA"
Q4 of 2010,5.0,240.0,367.0,237.0,624.0,"Waco, TX",-97.22861111,31.61138889,"San Jose, CA"
Q4 of 2010,164.0,383.0,415.39495798319325,2.0,1337.0,"Arcata/Eureka, CA",-124.1075,40.97916667,"San Francisco, CA"
Q4 of 2010,11.0,376.0,477.5,281.0,1161.0,"Atlantic City, NJ",-74.57805556,39.45611111,"San Francisco, CA"
Q4 of 2010,4.0,1456.0,1272.0,161.0,2015.0,"Kodiak, AK",-152.49388889,57.75,"Oakland, CA"
Q4 of 2010,1.0,1135.0,1135.0,1135.0,1135.0,"Kodiak, AK",-152.49388889,57.75,"San Francisco, CA"
Q4 of 2010,1.0,1156.0,1156.0,1156.0,1156.0,"Kodiak, AK",-152.49388889,57.75,"San Jose, CA"
Q4 of 2010,1.0,792.0,792.0,792.0,792.0,"Alexandria, LA",-92.54694444,31.32416667,"Oakland, CA"
Q4 of 2010,25.0,493.0,548.88,352.0,1373.0,"Alexandria, LA",-92.54694444,31.32416667,"San Francisco, CA"
Q4 of 2010,5.0,540.0,573.2,377.0,770.0,"Alexandria, LA",-92.54694444,31.32416667,"San Jose, CA"
Q4 of 2010,1.0,284.0,284.0,284.0,284.0,"Augusta, GA",-81.96444444,33.36916667,"Oakland, CA"
Q4 of 2010,32.0,400.5,444.4,7.0,1072.0,"Augusta, GA",-81.96444444,33.36916667,"San Francisco, CA"
Q4 of 2010,11.0,578.0,644.7272727272727,427.0,1312.0,"Augusta, GA",-81.96444444,33.36916667,"San Jose, CA"
Q4 of 2010,43.0,485.0,473.6829268292683,7.0,851.0,"Albany, NY",-73.80527778,42.74583333,"Oakland, CA"
Q4 of 2010,191.0,485.5,544.2934782608696,0.0,2478.0,"Albany, NY",-73.80527778,42.74583333,"San Francisco, CA"
Q4 of 2010,42.0,506.0,537.560975609756,10.0,1279.0,"Albany, NY",-73.80527778,42.74583333,"San Jose, CA"
Q4 of 2010,2.0,359.0,359.0,42.0,676.0,"Waterloo, IA",-92.39972222,42.55611111,"San Francisco, CA"
Q4 of 2010,2.0,829.0,829.0,526.0,1132.0,"Waterloo, IA",-92.39972222,42.55611111,"San Jose, CA"
Q4 of 2010,2.0,593.0,593.0,536.0,650.0,"Alamosa, CO",-105.86666667,37.43666667,"San Francisco, CA"
Q4 of 2010,10.0,307.0,316.22222222222223,149.0,546.0,"Walla Walla, WA",-118.29111111,46.09472222,"Oakland, CA"
Q4 of 2010,9.0,303.0,338.3333333333333,149.0,724.0,"Walla Walla, WA",-118.29111111,46.09472222,"San Francisco, CA"
